reaction,has_rclass,has_main_pair,num_pairs
R03796,True,True,3
R00198,True,True,3
R04366,True,True,15
R06903,True,True,5
R10052,True,True,3
R04587,True,True,78
R07713,True,True,19
R06421,True,True,2
R08149,True,True,61
R08534,True,True,140
R09975,True,True,2
R09553,True,True,1
R00891,True,True,3
R06405,True,True,9
R12151,False,False,0
R02930,True,True,206
R04036,True,True,1
R02271,True,True,4
R06386,True,True,4
R07312,True,True,2
R01274,True,True,255
R00018,True,True,23
R05282,True,True,26
R05701,True,True,15
R10946,True,True,2
R05224,True,True,248
R07855,True,True,5
R12642,False,False,0
R00214,True,True,4
R12643,False,False,0
R09483,True,True,1
R13238,False,False,0
R07710,True,True,45
R05249,True,True,104
R02831,True,True,10
R10305,True,True,68
R09984,True,True,4
R03905,True,True,245
R09986,True,True,55
R13404,False,False,0
R00644,True,True,1
R08099,True,True,1
R02261,True,True,35
R08925,True,True,3
R07518,True,True,12
R04174,True,True,138
R07179,True,True,4
R00093,True,True,90
R12687,True,True,104
R05763,True,True,42
R09739,False,False,0
R05840,True,True,1
R10320,True,True,2
R10527,True,True,10
R10703,True,True,3
R00643,True,True,4
R01019,True,True,1
R04043,True,True,90
R12212,True,True,7
R07665,True,True,20
R08396,True,True,246
R08848,True,True,3
R11213,True,True,35
R06892,True,True,3
R13363,False,False,0
R00988,True,True,24
R00996,True,True,1
R03650,True,True,167
R11099,True,True,1
R00152,True,True,2
R08257,True,True,2
R11401,True,True,3
R10550,True,True,35
R09631,True,True,289
R00711,True,True,3
R04930,True,True,5
R10705,True,True,61
R00207,True,True,2
R11353,True,True,10
R00728,True,True,3
R01148,True,True,64
R11633,True,True,19
R01533,True,True,1
R02409,True,True,17
R04888,True,True,52
R02255,True,True,170
R00999,True,True,51
R09500,True,True,1
R01151,True,True,33
R06366,True,True,6
R01045,True,True,42
R02574,True,True,2
R09987,True,True,55
R02338,True,True,1
R12758,True,True,21
R09078,True,True,6
R01138,True,True,220
R08220,True,True,132
R05620,True,True,163
R05765,True,True,2
R01431,True,True,4
R10297,True,True,161
R00228,True,True,161
R00470,True,True,28
R00224,True,True,1
R10136,True,True,167
R10545,True,True,61
R02553,True,True,51
R12317,False,False,0
R01421,True,True,30
R02968,True,True,13
R01371,True,True,25
R02877,True,True,25
R09963,True,True,1
R08663,True,True,4
R00543,True,True,28
R01011,True,True,465
R10902,True,True,425
R01300,True,True,173
R03049,True,True,181
R04146,False,False,0
R00424,True,True,2
R01651,True,True,167
R01176,True,True,255
R13439,True,True,102
R11957,True,True,289
R01632,True,True,8
R01784,True,True,26
R04450,True,True,54
R01449,True,True,119
R03204,True,True,2
R10584,True,True,1
R01301,True,True,173
R08358,True,True,4
R12580,False,False,0
R00628,True,True,10
R10276,True,True,5
R02179,True,True,404
R10820,True,True,255
R03894,True,True,1
R13440,True,True,43
R04010,True,True,1
R11381,True,True,19
R07456,True,True,28
R06171,True,True,13
R02529,True,True,3
R03260,True,True,71
R05666,True,True,43
R10858,True,True,2
R10983,True,True,61
R01152,True,True,105
R10783,True,True,37
R08691,True,True,1
R01238,True,True,11
R11102,False,False,0
R01764,True,True,2
R07000,True,True,14
R00522,True,True,2
R05280,True,True,4
R08543,True,True,2
R12635,False,False,0
R02878,True,True,37
R00605,True,True,3
R00647,True,True,1
R01012,True,True,247
R12121,False,False,0
R04014,True,True,148
R12478,True,True,141
R04911,True,True,24
R03145,True,True,3
R08178,True,True,255
R05424,True,True,4
R01283,True,True,3
R13353,False,False,0
R13330,False,False,0
R02676,True,True,6
R12591,True,True,11
R10249,True,True,55
R13218,True,True,5
R12759,True,True,5
R03799,True,True,1
R00746,True,True,3
R03608,True,True,104
R05266,True,True,18
R08023,True,True,1
R13355,False,False,0
R07692,True,True,14
R06884,True,True,7
R01034,True,True,44
R12283,True,True,4
R03626,True,True,13
R05830,True,True,1
R11038,True,True,6
R10736,False,False,0
R00014,True,True,9
R09097,True,True,171
R01430,True,True,25
R08530,True,True,262
R09992,True,True,2
R09964,True,True,1
R05046,True,True,24
R11463,True,True,5
R06893,True,True,22
R00903,True,True,16
R00573,True,True,253
R10533,True,True,8
R03401,True,True,7
R08084,True,True,37
R02340,True,True,2
R02550,True,True,18
R10670,True,True,14
R01689,True,True,3
R04187,True,True,7
R04412,True,True,3
R05784,True,True,3
R00488,True,True,174
R03215,True,True,1
R00751,True,True,13
R06376,True,True,55
R11773,False,False,0
R09257,True,True,263
R03581,True,True,21
R13511,False,False,0
R01308,True,True,8
R00640,True,True,4
R08944,True,True,100
R05773,True,True,23
R08088,True,True,255
R09625,True,True,1
R10343,True,True,100
R11189,True,True,162
R02339,True,True,102
R05198,True,True,2
R05509,True,True,15
R13324,False,False,0
R06402,True,True,4
R00532,True,True,1
R09075,True,True,38
R00659,True,True,220
R05430,True,True,3
R00369,True,True,3
R00815,True,True,104
R00754,True,True,3
R08177,True,True,255
R08502,True,True,1
R00425,True,True,2
R00579,True,True,16
R06373,True,True,2
R04000,True,True,25
R09973,True,True,1
R00748,True,True,1
R12612,False,False,0
R01239,True,True,161
R10042,True,True,45
R06603,True,True,5
R12018,False,False,0
R05298,True,True,26
R00251,True,True,221
R00987,True,True,9
R11347,True,True,102
R00688,True,True,64
R12019,True,True,25
R10167,True,True,9
R01108,True,True,16
R06384,True,True,55
R00326,True,True,1
R12535,True,True,6
R10500,True,True,175
R00669,True,True,174
R01355,True,True,3
R06443,True,True,78
R01410,True,True,5
R11404,True,True,4
R03723,True,True,2
R04800,True,True,12
R07322,True,True,1
R02593,True,True,21
R09039,True,True,110
R12838,False,False,0
R07870,True,True,4
R02462,True,True,37
R08766,True,True,1
R03612,True,True,181
R01307,True,True,3
R10001,True,True,4
R05123,True,True,161
R07844,True,True,1
R10996,True,True,12
R00576,True,True,64
R10147,True,True,2
R05380,True,True,1
R11676,True,True,3
R00325,True,True,8
R01302,True,True,5
R00025,True,True,6
R07001,True,True,14
R10614,True,True,4
R11528,True,True,4
R08785,True,True,15
R09094,True,True,1
R06916,True,True,20
R01633,True,True,7
R01920,True,True,27
R12516,True,True,181
R03133,True,True,52
R11070,True,True,4
R13510,False,False,0
R06791,True,True,43
R12352,True,True,3
R07632,True,True,8
R12926,True,True,45
R03105,True,True,1
R00253,True,True,248
R04119,True,True,167
R06382,True,True,55
R07274,True,True,4
R02938,True,True,26
R01429,True,True,25
R01031,True,True,2
R02244,True,True,1
R05565,True,True,11
R07668,True,True,164
R05168,True,True,78
R09962,True,True,5
R00043,True,True,9
R03567,True,True,10
R03562,True,True,45
R06203,False,False,0
R05573,True,True,7
R00907,True,True,34
R12774,False,False,0
R06940,True,True,20
R05356,True,True,4
